,States
0,București
1,Cluj-Napoca
2,Timișoara
3,Iași
4,Constanța
5,Craiova
6,Brașov
7,Galați
8,Ploiești
9,Oradea
10,Brăila
11,Arad
12,Pitești
13,Sibiu
14,Bacău
15,Târgu Mureș
16,Baia Mare
17,Buzău
18,Botoșani
19,Satu Mare
20,Râmnicu Vâlcea
21,Drobeta-Turnu Severin
22,Suceava
23,Piatra Neamț
24,Reșița
25,Târgu Jiu
26,Focșani
27,Bistrița
28,Tulcea
29,Slatina
30,Alba Iulia
31,Giurgiu
32,Deva
33,Zalău
34,Sfântu Gheorghe
35,Miercurea Ciuc
36,Hunedoara
37,Roman
38,Călărași
39,Vaslui
40,Slobozia
41,Alexandria
42,Târgoviște
